"yield_value","tend_crop_yld","public_land","man_bud_type","land_type","land_type_max_frac","ytb_type","idx","sims","years","trend_Min.","trend_Median","trend_Mean","trend_Max.","EXT","EXT_first","get_res","land_dim_1","land_dim_2","land_ownership","tend_crops","scaring","minimum_cost","remove_pr","res_death_type","lambda","res_death_K","RESOURCE_ini","manage_target","manager_budget","user_budget","stakeholders","res_consume","observe_type","res_move_obs","agent_view","times_observe","agent_move","converge_crit","ga_mingen"
0.2,0.2,0,"fixed","equal",NA,"beta1","20191208093655_nullModel-YTB14",100,100,0.650968672289986,1.01755909176218,1.00619424291223,1.07983298604493,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"fixed","oneRich",0.25,"beta1","20191207183327_nullModel-YTB13",100,100,0.794374075296799,1.02549441828182,1.02146478149424,1.06344717739237,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"fixed","oneRich",0.5,"beta1","20191207200232_nullModel-YTB13",100,100,1.00259276897998,1.03642235432275,1.03480620013495,1.06851519552122,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"fixed","oneRich",0.75,"beta1","20191208082929_nullModel-YTB13",100,100,0.784737697899121,1.00520270149382,1.00102021104068,1.12320957415723,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"max","equal",NA,"beta1","20191208113529_nullModel-YTB14",100,100,0.769380233550117,0.998267144690978,0.990135818654638,1.06230310244925,1,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"max","oneRich",0.25,"beta1","20191207191715_nullModel-YTB13",100,100,0.798795661340797,1.01515087459882,1.0138117224364,1.08157548369956,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"max","oneRich",0.5,"beta1","20191207211852_nullModel-YTB13",100,100,0.96899371038464,1.02318168277251,1.02617004098601,1.08208670894866,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"max","oneRich",0.75,"beta1","20191208100931_nullModel-YTB13",100,100,0.962704612392563,1.00368763970205,1.00571542929705,1.05105735942939,1,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"mean","equal",NA,"beta1","20191208093707_nullModel-YTB14",100,100,0.868900828014961,1.01384366514721,1.01055236740204,1.07010957202237,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"mean","oneRich",0.25,"beta1","20191207183343_nullModel-YTB13",100,100,0.978435423201129,1.02461830254264,1.02539497545159,1.06594642862666,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"mean","oneRich",0.5,"beta1","20191207204532_nullModel-YTB13",100,100,1.00156399301039,1.03309094251825,1.03418301929297,1.07155084399795,1,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0,"mean","oneRich",0.75,"beta1","20191208094559_nullModel-YTB13",100,100,0.875940713652698,1.00703028599007,1.00463751423084,1.04806215314129,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.2,0.2,0.25,"fixed","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"fixed","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"fixed","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"fixed","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"max","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"max","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"max","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"max","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"mean","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"mean","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"mean","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.25,"mean","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"fixed","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"fixed","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"fixed","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"fixed","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"max","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"max","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"max","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"max","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"mean","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"mean","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"mean","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,0.2,0.5,"mean","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0,"fixed","equal",NA,"beta1","20191207163503_nullModel-YTB12",100,100,0.145099742490156,0.977911714386076,0.911130677530599,1.14424444680371,5,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"fixed","oneRich",0.25,"beta1","20191207145631_nullModel-YTB12",100,100,0.208266950775997,1.02161301980409,0.98864020254941,1.16695965945018,3,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"fixed","oneRich",0.5,"beta1","20191207145826_nullModel-YTB12",100,100,0.399559438300947,1.02964728373079,1.0071172864447,1.25375628723518,1,94,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"fixed","oneRich",0.75,"beta1","20191207162755_nullModel-YTB12",100,100,0.47573625180264,1.02608588832955,1.000002835191,1.26140803211332,1,97,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"max","equal",NA,"beta1","20191207164330_nullModel-YTB12",100,100,0.0551989934185611,0.860900492000877,0.786155204577951,1.31769144860958,11,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"max","oneRich",0.25,"beta1","20191207145746_nullModel-YTB12",100,100,0.237268034457208,0.920603701189478,0.86604447474564,1.20989773012672,2,97,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"max","oneRich",0.5,"beta1","20191207145947_nullModel-YTB12",100,100,0.337397525881159,0.974340030936349,0.940016509138457,1.17886728421157,3,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"max","oneRich",0.75,"beta1","20191207163458_nullModel-YTB12",100,100,0.791748584202116,0.984047587968049,0.975340440917722,1.11130915846373,1,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"mean","equal",NA,"beta1","20191207163801_nullModel-YTB12",100,100,0.184419511871559,0.933345980693813,0.854069028371609,1.15654876864981,5,67,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"mean","oneRich",0.25,"beta1","20191207145710_nullModel-YTB12",100,100,0.14494446042051,0.988042489903613,0.942946635910741,1.17015066437446,4,1,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"mean","oneRich",0.5,"beta1","20191207145924_nullModel-YTB12",100,100,0.100329436533096,1.00339082161845,0.975850507215758,1.1348305954678,2,62,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0,"mean","oneRich",0.75,"beta1","20191207163051_nullModel-YTB12",100,100,0.419279767242286,1.00651003936276,0.98631330008162,1.09080197495341,0,Inf,"Full",200,200,TRUE,TRUE,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,8,0.2,0,TRUE,100,10,100,0.1,40
0.4,0.2,0.25,"fixed","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"fixed","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"fixed","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"fixed","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"max","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"max","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"max","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"max","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"mean","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"mean","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"mean","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.25,"mean","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"fixed","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"fixed","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"fixed","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"fixed","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"max","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"max","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"max","oneRich",0.5,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"max","oneRich",0.75,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"mean","equal",NA,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.2,0.5,"mean","oneRich",0.25,"beta1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
